gift_id,gift_type,gift_category,gift_cluster,instock_date,stock_update_date,lsg_1,lsg_2,lsg_3,lsg_4,lsg_5,lsg_6,uk_date1,uk_date2,is_discounted,volumes,price
GF_11156,61,534,3942,2014-02-21 05:07:06.000,2016-11-09 15:49:51.000,3377,5221,504,1912,10,554,2014-02-24 08:07:06.000,2014-02-24 07:07:06.000,0,,175.54
GF_11157,61,534,3942,2014-02-21 06:07:06.000,2016-11-11 13:49:51.000,3377,5221,504,1912,10,554,2014-02-22 07:07:06.000,2014-02-24 06:07:06.000,1,,95.8
GF_15689,584,262,0,2014-02-21 09:30:21.000,2016-03-24 14:46:18.000,5290,1579,3203,1912,9,1578,2016-01-26 00:04:45.000,2016-03-18 02:00:00.000,1,,107.35
GF_11155,61,534,3942,2014-02-22 05:07:06.000,2016-11-10 16:49:51.000,3377,5221,504,1912,10,554,2016-11-07 13:49:51.000,2016-11-06 04:00:00.000,0,,172.9
GF_11158,61,534,3942,2014-02-22 07:07:06.000,2016-11-10 13:49:51.000,3377,5221,504,1912,9,554,2016-11-07 15:49:51.000,2016-11-06 01:00:00.000,1,,77.72
GF_15686,584,262,0,2014-02-23 07:30:21.000,2016-03-23 15:46:18.000,5290,1579,3203,1912,9,1578,2014-02-25 07:30:21.000,2014-02-24 08:30:21.000,1,,142.84
GF_15690,584,262,0,2014-02-23 10:30:21.000,2016-03-23 18:46:18.000,5290,1579,3203,1912,9,1578,2016-01-25 02:04:45.000,2016-03-16 02:00:00.000,1,,78.71
GF_15685,584,262,0,2014-02-24 10:30:21.000,2016-03-24 17:46:18.000,5290,1579,3203,1912,9,1578,2016-01-22 03:04:45.000,2016-03-17 03:00:00.000,0,,166.81
GF_11159,61,534,3942,2014-02-25 07:07:06.000,2016-11-10 14:49:51.000,3377,5221,504,1912,10,554,2016-11-07 16:49:51.000,2015-04-08 12:48:27.025,0,,72.72
GF_15688,584,262,0,2014-02-25 08:30:21.000,2016-03-24 16:46:18.000,5290,1579,3203,1912,9,1578,2016-01-23 03:04:45.000,2016-03-11 04:00:00.000,1,,107.12
GF_15687,584,262,0,2014-02-25 10:30:21.000,2016-03-22 18:46:18.000,5290,1579,3203,1912,9,1578,2016-01-23 23:04:45.000,2016-03-20 04:00:00.000,1,,108.22
GF_19007,1136,890,0,2014-08-31 04:40:59.000,2016-08-01 17:52:10.000,8143,3350,6404,1912,9,1428,2014-09-02 03:40:59.000,2014-08-28 01:21:25.696,0,,123.55
GF_519,168,403,1846,2014-10-15 22:59:24.000,2017-04-03 15:40:33.000,3799,3358,1230,51,9,327,2017-03-31 12:40:33.000,2017-03-26 12:25:37.484,0,25.0,176.69
GF_522,168,403,1846,2014-10-16 21:59:24.000,2017-04-02 16:40:33.000,3799,3358,1230,51,9,327,2017-03-06 17:31:38.000,2017-02-14 19:48:35.300,0,26.0,95.49
GF_524,168,403,1846,2014-10-18 23:59:24.000,2017-04-02 15:40:33.000,3799,3358,1230,51,9,327,2014-11-18 13:43:12.000,2014-11-15 15:03:20.063,0,26.0,171.63
GF_523,168,403,1846,2014-10-19 19:59:24.000,2017-04-03 15:40:33.000,3799,3358,1230,51,9,327,2014-11-02 11:29:07.000,2014-11-03 00:04:35.514,0,29.0,155.15
GF_521,168,403,1846,2014-10-19 22:59:24.000,2017-04-02 15:40:33.000,3799,3358,1230,51,9,327,2015-05-20 05:13:39.000,2014-11-28 07:55:45.257,0,25.0,207.52
GF_520,168,403,1846,2014-10-19 22:59:24.000,2017-04-04 15:40:33.000,3799,3358,1230,51,9,327,2017-03-07 16:10:46.000,2017-02-10 18:15:18.142,0,27.0,192.86
GF_13201,1083,886,0,2014-10-22 21:12:48.000,2016-05-24 06:13:34.000,7638,6001,5491,1912,9,657,2015-12-02 02:32:34.000,2016-05-16 03:00:00.000,0,,37.83
GF_10615,1131,822,0,2014-10-23 01:02:10.000,2016-01-19 11:15:09.000,8100,6223,6381,1912,9,1836,2015-12-05 03:21:59.000,2015-06-29 10:00:00.000,0,,67.13
GF_2004,18,614,0,2014-10-23 01:31:24.000,2016-08-05 07:47:59.000,3488,4702,804,1912,9,1884,2016-05-27 23:03:32.000,2016-03-22 02:00:00.000,0,,161.89
